City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Garowe,SO,87.96,few clouds,8.4054,48.4845,Curubo Hotel
202,Lexington,US,82.29,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
203,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
204,Omboue,GA,78.6,overcast clouds,-1.5746,9.2618,Hotel Olako
206,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
207,Cimislia,MD,75.34,overcast clouds,46.52,28.7842,Tabara El-Sadai
209,Ashland,US,83.88,clear sky,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
211,Aksu,CN,81.79,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
217,Pyinmana,MM,80.98,overcast clouds,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
223,Beyneu,KZ,83.79,scattered clouds,45.3167,55.2,NUR
225,Manaure,CO,88.66,overcast clouds,11.7751,-72.4445,Hotel Palaaima
226,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
228,Florida,US,88.99,broken clouds,28.7505,-82.5001,Sportsmens Cove
229,Georgetown,MY,80.53,heavy intensity rain,5.4112,100.3354,Cititel Penang
230,Vila Velha,BR,79.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
233,Pineville,US,79.09,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
238,Bandarban,BD,77.41,overcast clouds,22.1965,92.2262,Hotel Plaza
240,Owando,CG,80.38,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
241,Bodden Town,KY,85.98,few clouds,19.2833,-81.25,Will T Place
242,Lata,PT,82.04,clear sky,40.1629,-8.3327,Casa Maquia
246,Puerto Narino,CO,82.35,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
249,Palu,ID,76.55,light rain,-0.8917,119.8707,Hotel Santika Palu
252,Faya,SA,75.72,few clouds,18.3851,42.4509,مقبرة ال مجمل
253,Dzaoudzi,YT,80.49,overcast clouds,-12.7887,45.2699,Le Rocher
254,Kieta,PG,78.15,few clouds,-6.2167,155.6333,Uruna Bay Retreat
255,Khash,IR,88.47,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
257,Khirkiya,IN,88.0,overcast clouds,22.1674,76.8605,Sanjay Industries
264,Kilindoni,TZ,79.61,light rain,-7.9139,39.6668,Bustani B&B
265,Ewa Beach,US,76.08,clear sky,21.3156,-158.0072,Uncle Junior Robert
268,Venice,US,89.06,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
269,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
271,Hambantota,LK,79.57,broken clouds,6.1241,81.1185,Bungalow 63
272,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
273,Alamos,MX,85.71,clear sky,27.0167,-108.9333,Luz del Sol
281,Dwarka,IN,85.19,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
287,Yarada,IN,86.32,few clouds,17.65,83.2667,Jeevan
291,Jasper,US,80.06,clear sky,37.2001,-94.3502,Guest House Motel
301,Luwuk,ID,76.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
302,Balkanabat,TM,79.83,clear sky,39.5108,54.3671,Nebitchi Hotel
307,Guatire,VE,82.9,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
312,Neiafu,TO,75.56,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
313,Sur,OM,89.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
314,Depew,US,84.56,broken clouds,42.904,-78.6923,Holiday Inn Buffalo-Intl Airport
316,Balikpapan,ID,77.85,scattered clouds,-1.2675,116.8289,ibis Balikpapan
317,Aransas Pass,US,85.21,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
324,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
329,Lorengau,PG,80.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
331,Hirara,JP,82.02,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
332,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
335,Caramay,PH,80.38,broken clouds,10.1815,119.236,Peace and Love Beach Club
336,Tecoanapa,MX,87.08,overcast clouds,16.5167,-98.75,Hotel Manglares
338,Culebra,PR,87.89,overcast clouds,18.303,-65.301,Palmetto Guesthouse
340,Bac Lieu,VN,83.25,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
341,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
345,Rodos,GR,83.82,few clouds,36.4408,28.2225,Spirit of the Knights Boutique Hotel
348,San-Pedro,CI,81.88,light rain,4.7485,-6.6363,Hotel Maria
356,Esna,EG,89.44,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
362,Vaitape,PF,80.92,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
366,San Policarpo,PH,78.48,light rain,12.1791,125.5072,JM Lodge
367,Sorong,ID,77.83,overcast clouds,-0.8833,131.25,waigo splash hotel
369,Port Blair,IN,84.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
371,Carauari,BR,87.64,broken clouds,-4.8828,-66.8958,Hotel Fellip
375,Casablanca,MA,77.22,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
376,Belmonte,BR,82.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
377,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
381,Mandal,IN,82.44,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
