City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nelson Bay,AU,-32.7167,152.15,50.0,63,83,14.61,broken clouds
80,Kodiak,US,57.79,-152.4072,51.31,58,20,8.05,few clouds
81,Diamantino,BR,-14.4086,-56.4461,91.36,30,81,10.29,broken clouds
82,Wankaner,IN,22.6167,70.9333,89.67,53,16,18.72,light rain
83,Usinsk,RU,65.9939,57.5281,59.2,59,100,7.14,overcast clouds
84,Chapais,CA,49.7834,-74.8492,58.78,92,100,8.55,overcast clouds
85,Korla,CN,41.7597,86.1469,81.95,20,42,8.28,scattered clouds
86,Erenhot,CN,43.6475,111.9767,68.23,29,2,11.56,clear sky
87,Samarai,PG,-10.6167,150.6667,77.86,88,100,15.64,overcast clouds
88,Kavaratti,IN,10.5669,72.642,82.76,77,100,13.65,overcast clouds
89,Saskylakh,RU,71.9167,114.0833,36.79,77,96,5.55,overcast clouds
90,Saint-Philippe,RE,-21.3585,55.7679,74.75,84,45,4.74,light rain
91,Barreiro,PT,38.6631,-9.0724,78.75,50,0,12.66,clear sky
92,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.38,41,9,6.35,clear sky
93,Norman Wells,CA,65.282,-126.8329,46.44,76,75,12.66,light rain
94,Uusikaupunki,FI,60.8004,21.4084,72.12,52,1,5.17,clear sky
95,Bredasdorp,ZA,-34.5322,20.0403,56.52,88,0,2.89,clear sky
96,Cascais,PT,38.6979,-9.4215,78.66,54,20,11.01,few clouds
97,Gornozavodsk,RU,58.3758,58.3211,61.74,63,16,2.8,few clouds
98,Kavieng,PG,-2.5744,150.7967,81.32,81,83,8.97,moderate rain
99,Darab,IR,28.7519,54.5444,95.25,7,5,5.3,clear sky
100,Tazovskiy,RU,67.4667,78.7,32.07,81,59,16.42,broken clouds
101,Maniitsoq,GL,65.4167,-52.9,38.39,96,100,11.61,overcast clouds
102,Uvira,CD,-3.4067,29.1458,76.87,76,51,4.65,broken clouds
103,Atar,MR,20.5169,-13.0499,102.81,14,55,20.62,broken clouds
104,Kasongo-Lunda,CD,-6.4667,16.8167,86.18,35,73,4.23,broken clouds
105,Souillac,MU,-20.5167,57.5167,74.35,83,40,7.74,scattered clouds
106,Hajipur,IN,25.6833,85.2167,85.98,51,20,9.46,haze
107,Kamaishi,JP,39.2667,141.8833,61.68,87,100,6.29,overcast clouds
108,Bathsheba,BB,13.2167,-59.5167,86.61,58,40,20.36,scattered clouds
109,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,9.22,clear sky
110,Aklavik,CA,68.2191,-135.0107,34.63,100,90,10.36,mist
111,Roald,NO,62.5833,6.1333,70.16,82,75,5.75,broken clouds
112,Yakima,US,46.4665,-120.6678,67.93,39,75,15.57,broken clouds
113,Port Hedland,AU,-20.3167,118.5667,71.65,64,90,3.44,overcast clouds
114,Esperance,AU,-33.8667,121.9,53.44,59,100,13.29,overcast clouds
115,Kasongo,CD,-4.45,26.6667,81.03,50,29,2.46,scattered clouds
116,Mpanda,TZ,-6.3655,31.0409,74.68,54,100,0.69,overcast clouds
117,Padang,ID,-0.9492,100.3543,76.17,86,100,4.16,overcast clouds
118,Glens Falls,US,43.3095,-73.644,87.71,56,1,1.99,clear sky
119,San Patricio,US,28.017,-97.5169,86.02,65,3,6.96,clear sky
120,Deputatskiy,RU,69.3,139.9,49.17,82,100,4.65,overcast clouds
121,Guerrero Negro,MX,27.9769,-114.0611,69.62,58,5,11.03,clear sky
122,Castro,BR,-24.7911,-50.0119,73.24,48,1,8.93,clear sky
